solo_id,performer,phrase_number,length_beats,num_notes,note_density,pitch_mean,pitch_range,pitch_std,rest_ratio,contour,starts_on_downbeat,phrase_duration,phrase_token
52,Charlie Parker,1,8.823582766439909,20,2.266652960526316,67.25,12,3.222964473896664,0.1628289473684211,ascending,False,4.4117913832199545,PHRASE_53
52,Charlie Parker,2,9.026757369614511,26,2.8803255627009645,62.96153846153846,25,5.938665799595894,0.0604501607717041,descending,False,4.513378684807257,PHRASE_37
52,Charlie Parker,3,7.450702947845809,21,2.818526003116477,69.28571428571429,17,4.187769688746791,0.0467471756914688,flat,False,3.725351473922904,PHRASE_55
52,Charlie Parker,4,4.998095238095239,15,3.0011432926829262,69.2,6,1.9043809142780936,0.0911730545876882,ascending,True,2.4990476190476194,PHRASE_03
52,Charlie Parker,5,4.008344671201812,11,2.7442749818971777,68.81818181818181,10,3.1281182789245916,0.0325850832729927,arch,False,2.004172335600906,PHRASE_03
52,Charlie Parker,6,2.975056689342402,8,2.6890243902439037,61.875,12,4.594493987372276,0.0458536585365846,descending,False,1.487528344671201,PHRASE_31
52,Charlie Parker,7,4.641088435374151,11,2.370133677298311,71.0909090909091,8,2.2342192231717286,0.0212632895559751,flat,False,2.3205442176870754,PHRASE_03
52,Charlie Parker,8,5.784671201814064,31,5.3589908429503215,69.6774193548387,17,4.098678754649959,0.0556949322629241,flat,False,2.892335600907032,PHRASE_45
52,Charlie Parker,9,1.28580498866215,4,3.1108916478554853,61.75,3,1.0897247358851685,0.0316027088036288,flat,False,0.642902494331075,PHRASE_14
52,Charlie Parker,10,13.090249433106578,38,2.902924057649667,66.97368421052632,17,4.439575857558225,0.0589800443459014,flat,False,6.545124716553289,PHRASE_48
52,Charlie Parker,11,5.192562358276646,13,2.5035809111235316,72.84615384615384,15,4.753074371007818,0.1145891559530416,descending,False,2.596281179138323,PHRASE_55
52,Charlie Parker,12,4.466938775510215,13,2.9102704678362503,70.15384615384616,9,2.4446536280108773,0.0324886289798527,arch,False,2.2334693877551075,PHRASE_03
52,Charlie Parker,13,5.241904761904749,17,3.243095930232566,70.70588235294117,13,3.593535141012062,0.0343300110742027,descending,False,2.6209523809523745,PHRASE_00
52,Charlie Parker,14,11.659319727891171,20,1.7153659447348744,65.6,12,3.2771939216347876,0.0234005476723943,descending,True,5.8296598639455866,PHRASE_01
52,Charlie Parker,15,2.409070294784584,6,2.4905873493975865,70.66666666666667,12,3.7267799624996494,0.0771084337349412,descending,False,1.204535147392292,PHRASE_28
52,Charlie Parker,16,2.1681632653060916,5,2.306099397590394,69.8,15,4.915282290977803,0.0374832663989242,descending,False,1.0840816326530458,PHRASE_28
52,Charlie Parker,17,9.79301587301586,28,2.8591804979253146,67.96428571428571,22,4.946009523250196,0.0560165975103698,ascending,False,4.8965079365079305,PHRASE_37
52,Charlie Parker,18,7.041451247165526,16,2.2722588623248168,66.8125,12,3.660921161401867,0.0725474031327247,descending,False,3.520725623582763,PHRASE_53
53,Charlie Parker,1,8.620408163265308,24,2.7840909090909083,64.0,14,3.752776749732567,0.1044402356902362,flat,False,4.310204081632654,PHRASE_53
53,Charlie Parker,2,10.331428571428576,26,2.5165929203539816,64.26923076923077,18,4.856064347467562,0.1618731563421834,flat,False,5.165714285714287,PHRASE_15
53,Charlie Parker,3,2.9986394557823175,9,3.001361161524496,67.77777777777777,11,3.764683188021648,0.1130671506352086,ascending,False,1.4993197278911587,PHRASE_00
53,Charlie Parker,4,4.625124716553287,26,5.621470034515219,69.8076923076923,19,5.349473236247233,0.0194540320050219,flat,True,2.3125623582766437,PHRASE_13
