solo_id,performer,phrase_number,length_beats,num_notes,note_density,pitch_mean,pitch_range,pitch_std,rest_ratio,contour,starts_on_downbeat,phrase_duration,phrase_token
1,Art Pepper,1,3.995827664399094,7,1.7518273028555855,60.857142857142854,7,2.695423180587601,0.2855132337585694,descending,True,1.997913832199547,PHRASE_37
1,Art Pepper,2,9.634739229024945,28,2.9061502687741823,57.892857142857146,12,2.5402374145833257,0.1911168014460162,ascending,False,4.817369614512472,PHRASE_43
1,Art Pepper,3,3.722448979591832,12,3.2236842105263204,58.5,12,3.1490739379485304,0.2987938596491202,descending,True,1.861224489795916,PHRASE_20
1,Art Pepper,4,9.724489795918366,27,2.7764952780692553,59.51851851851852,18,4.049420355139737,0.1680587618048257,ascending,False,4.862244897959183,PHRASE_33
1,Art Pepper,5,0.6469387755102076,2,3.0914826498422543,64.0,4,2.0,0.1135646687697182,ascending,False,0.3234693877551038,PHRASE_48
1,Art Pepper,6,2.083990929705216,4,1.919394150417827,61.5,4,1.6583123951777,0.2144846796657346,flat,True,1.041995464852608,PHRASE_49
1,Art Pepper,7,1.826757369614512,5,2.7370903674280047,64.0,8,3.0983866769659336,0.3014895729890652,ascending,False,0.913378684807256,PHRASE_20
1,Art Pepper,8,2.793877551020401,10,3.5792549306062913,69.0,10,3.0659419433511785,0.0701241782322899,arch,False,1.3969387755102003,PHRASE_53
1,Art Pepper,9,2.8956462585033904,9,3.1081144575482895,62.0,10,3.2317865716108862,0.2067534338830728,flat,False,1.4478231292516952,PHRASE_20
1,Art Pepper,10,3.062131519274388,7,2.2859893364928823,64.85714285714286,10,3.6811710647786073,0.258767772511852,ascending,False,1.531065759637194,PHRASE_03
1,Art Pepper,11,8.658140589569157,16,1.847971840429099,63.75,14,4.25,0.1344284277572922,descending,True,4.329070294784579,PHRASE_26
1,Art Pepper,12,1.493877551020404,5,3.3469945355191353,75.0,9,3.03315017762062,0.0778688524590141,ascending,True,0.7469387755102019,PHRASE_53
1,Art Pepper,13,7.576780045351484,27,3.5635190461368977,68.70370370370371,20,5.842467862729184,0.1954413771637859,descending,False,3.788390022675742,PHRASE_12
1,Art Pepper,14,8.07755102040818,21,2.599797877716013,59.95238095238095,16,4.942297426792046,0.1602492841502452,descending,False,4.03877551020409,PHRASE_08
1,Art Pepper,15,8.126530612244906,22,2.7071823204419863,58.31818181818182,14,3.3082041768961385,0.1828840895139209,ascending,True,4.063265306122453,PHRASE_43
1,Art Pepper,16,0.7401360544217539,2,2.7022058823529953,65.5,3,1.5,0.3568627450980527,arch,False,0.3700680272108769,PHRASE_29
1,Art Pepper,17,6.1837641723356,13,2.1022793945083316,73.38461538461539,13,3.476038008521539,0.208871157005399,ascending,False,3.0918820861678,PHRASE_24
1,Art Pepper,18,1.3467573696145223,2,1.4850484913792994,77.5,7,3.5,0.0237068965517371,ascending,False,0.6733786848072612,PHRASE_18
1,Art Pepper,19,1.3641723356009263,2,1.4660904255318938,80.5,3,1.5,0.0446808510638539,arch,False,0.6820861678004633,PHRASE_18
